ID,pop,pop2,DBH,sNMF_V1,sNMF_V2,sNMF_V3,sNMF_V4,sNMF_V5,Grafted?,2spec_struc_oc_prop,2spec_struc_swo_prop,2spec_snmf_oc_prop,2spec_snmf_swo_prop
sample_1,EDGE-TN1,EDGE,37.5,1.00E-04,0.210726,1.00E-04,0.258218,0.530856,,,,,
sample_2,EDGE-TN1,EDGE,28.4,1.00E-04,0.0633583,1.00E-04,0.932008,0.00443357,grafted,0.016,0.984,0.0714468,0.928553
sample_3,EDGE-TN1,EDGE,16.2,1.00E-04,0.0321423,1.00E-04,0.951265,0.016393,grafted,0.01,0.99,0.0535689,0.946431
sample_4,EDGE-TN1,EDGE,19.5,1.00E-04,0.01996,1.00E-04,0.976673,0.0031669,grafted,0.004,0.996,0.0450784,0.954922
sample_5,EDGE-TN1,EDGE,15,0.00480895,0.000597731,1.00E-04,0.977684,0.0168098,grafted,0.004,0.996,0.0154954,0.984505
sample_6,EDGE-TN1,EDGE,10.2,0.00116329,0.0335181,0.00987519,0.936678,0.0187659,grafted,0.001,0.999,0.0319157,0.968084
sample_7,EDGE-TN1,EDGE,23.1,1.00E-04,0.0287434,0.000328459,0.960432,0.0103959,grafted,0.003,0.997,0.0313577,0.968642
sample_8,EDGE-TN1,EDGE,11.4,1.00E-04,0.0419665,1.00E-04,0.957734,1.00E-04,grafted,0.022,0.978,0.0489334,0.951067
sample_9,EDGE-TN1,EDGE,13,0.000577551,0.0289208,1.00E-04,0.955965,0.0144368,grafted,0.018,0.982,0.0433094,0.956691
sample_10,EDGE-TN1,EDGE,9.7,1.00E-04,0.0776187,1.00E-04,0.922081,1.00E-04,grafted,0.009,0.991,0.0527088,0.947291
sample_11,EDGE-TN1,EDGE,23.5,1.00E-04,0.0504474,1.00E-04,0.949253,1.00E-04,grafted,0.01,0.99,0.029115,0.970885
sample_12,EDGE-TN1,EDGE,31.8,1.00E-04,0.0958922,0.00378855,0.892345,0.00787448,grafted,0.04,0.96,0.108552,0.891448
sample_13,EDGE-TN1,EDGE,26.4,1.00E-04,0.0483145,0.0020135,0.944355,0.0052172,grafted,0.009,0.991,0.0641541,0.935846
sample_14,EDGE-TN2,EDGE,19.3,1.00E-04,0.44922,1.00E-04,0.55048,1.00E-04,,0.228,0.772,0.482631,0.517369
sample_15,EDGE-TN2,EDGE,20,1.00E-04,0.351787,1.00E-04,0.647913,1.00E-04,,0.171,0.829,0.343629,0.656371
sample_17,EDGE-TN2,EDGE,14.8,1.00E-04,0.495371,1.00E-04,0.504329,1.00E-04,,0.26,0.74,0.545382,0.454618
sample_18,EDGE-TN2,EDGE,20.2,1.00E-04,0.591683,0.000296157,0.407821,1.00E-04,,0.338,0.662,0.650847,0.349153
sample_19,EDGE-TN2,EDGE,19.2,1.00E-04,0.375169,1.00E-04,0.624531,1.00E-04,,0.189,0.811,0.388644,0.611356
sample_20,EDGE-TN3,EDGE,21.2,1.00E-04,0.532502,0.000894373,0.466404,1.00E-04,,0.332,0.668,0.560523,0.439477
sample_21,EDGE-TN3,EDGE,16.3,1.00E-04,0.131733,0.002754,0.865313,1.00E-04,,0.076,0.924,0.130467,0.869533
sample_22,EDGE-TN3,EDGE,14.5,0.0015358,0.578392,0.00230903,0.417663,1.00E-04,,0.321,0.679,0.612962,0.387038
sample_23,EDGE-TN3,EDGE,21.8,1.00E-04,0.320612,1.00E-04,0.679088,1.00E-04,,0.145,0.855,0.306409,0.693591
sample_24,EDGE-TN3,EDGE,19.8,1.00E-04,0.65205,1.00E-04,0.34765,1.00E-04,,0.329,0.671,0.67456,0.32544
sample_25,EDGE-TN3,EDGE,7.8,0.00394777,0.521012,0.048266,0.4195,0.00727419,,0.266,0.734,0.552767,0.447233
sample_26,EDGE-TN4,EDGE,28.5,1.00E-04,0.0846227,1.00E-04,0.915077,1.00E-04,grafted,0.051,0.949,0.0783796,0.92162
sample_27,EDGE-TN4,EDGE,16.2,1.00E-04,0.0978231,0.0174521,0.884525,1.00E-04,grafted,0.046,0.954,0.105341,0.894659
sample_28,EDGE-TN4,EDGE,20,1.00E-04,0.131066,0.00183126,0.866903,1.00E-04,grafted,0.061,0.939,0.131912,0.868088
sample_29,EDGE-TN5,EDGE,26.3,1.00E-04,0.115475,0.00544762,0.878877,1.00E-04,grafted,0.063,0.937,0.112771,0.887229
sample_30,EDGE-TN5,EDGE,33.7,1.00E-04,0.119158,1.00E-04,0.880542,1.00E-04,,0.063,0.937,0.107025,0.892975
sample_31,EDGE-TN5,EDGE,29.5,1.00E-04,0.0966515,1.00E-04,0.901997,0.00115141,,0.033,0.967,0.0702916,0.929708
sample_32,EDGE-TN5,EDGE,19.5,1.00E-04,0.133366,1.00E-04,0.866334,1.00E-04,,0.059,0.941,0.0976328,0.902367
sample_33,EDGE-TN5,EDGE,24,1.00E-04,0.154764,1.00E-04,0.844937,1.00E-04,not grafted,0.072,0.928,0.122988,0.877012
sample_34,EDGE-TN5,EDGE,17.7,1.00E-04,0.140571,0.0102027,0.843147,0.00597993,,0.056,0.944,0.114393,0.885607
sample_35,EDGE-TN5,EDGE,27.8,1.00E-04,0.141753,1.00E-04,0.857947,1.00E-04,grafted,0.059,0.941,0.13492,0.86508
sample_36,EDGE-TN5,EDGE,22.2,1.00E-04,0.0665653,1.00E-04,0.933135,1.00E-04,,0.027,0.973,0.0364882,0.963512
sample_37,EDGE-TN5,EDGE,21.9,1.00E-04,0.0992224,1.00E-04,0.900478,1.00E-04,,0.048,0.952,0.0804346,0.919565
sample_38,EDGE-TN5,EDGE,23.7,1.00E-04,0.0986558,1.00E-04,0.901044,1.00E-04,,0.044,0.956,0.0949843,0.905016
sample_39,EDGE-TN5,EDGE,22.7,1.00E-04,0.0715391,0.00326775,0.924993,1.00E-04,grafted,0.032,0.968,0.0782784,0.921722
sample_40,EDGE-TN5,EDGE,31,1.00E-04,0.0897973,0.00890156,0.901101,1.00E-04,grafted,0.036,0.964,0.0918551,0.908145
sample_41,EDGE-TN5,EDGE,33.6,1.00E-04,0.0288693,0.000539076,0.965757,0.0047347,grafted,0.014,0.986,0.0103982,0.989602
sample_42,EDGE-TN5,EDGE,28.4,1.00E-04,0.00779747,0.0108618,0.980529,0.000712074,grafted,0.007,0.993,0.0001,0.9999
sample_43,EDGE-TN5,EDGE,16.2,0.00159652,0.063392,0.0172936,0.907303,0.010415,,0.03,0.97,0.0791338,0.920866
sample_44,EDGE-TN5,EDGE,25,0.000562421,0.103086,1.00E-04,0.888894,0.00735706,grafted,0.043,0.957,0.107537,0.892463
sample_45,EDGE-TN6,EDGE,10.6,1.00E-04,0.104202,1.00E-04,0.89196,0.00363848,grafted,0.04,0.96,0.101379,0.898621
sample_46,EDGE-TN6,EDGE,12.2,1.00E-04,0.0954229,1.00E-04,0.904277,1.00E-04,grafted,0.048,0.952,0.123181,0.876819
sample_49,EDGE-TN6,EDGE,19.6,1.00E-04,0.0872132,1.00E-04,0.90844,0.00414701,grafted,0.038,0.962,0.0939209,0.906079
sample_50,EDGE-TN6,EDGE,37.5,1.00E-04,0.136115,0.00647413,0.857211,1.00E-04,grafted,0.069,0.931,0.12532,0.87468
sample_51,EDGE-TN6,EDGE,8.5,1.00E-04,0.134021,0.0136556,0.851003,0.001221,attempted,0.051,0.949,0.125409,0.874591
sample_52,EDGE-TN6,EDGE,16,1.00E-04,0.194087,0.00197937,0.803734,1.00E-04,grafted,0.104,0.896,0.211039,0.788961
