,ID,pop,pop2,DBH,sNMF_V1,sNMF_V2,sNMF_V3,sNMF_V4,sNMF_V5,Grafted.,X2spec_struc_oc_prop,X2spec_struc_swo_prop,X2spec_snmf_oc_prop,X2spec_snmf_swo_prop,ch33_het$Ho
4,sample_4,EDGE-TN1,EDGE,19.5,1e-04,0.01996,1e-04,0.976673,0.0031669,grafted,0.004,0.996,0.0450784,0.954922,0.126
5,sample_5,EDGE-TN1,EDGE,15,0.00480895,0.000597731,1e-04,0.977684,0.0168098,grafted,0.004,0.996,0.0154954,0.984505,0.121
8,sample_8,EDGE-TN1,EDGE,11.4,1e-04,0.0419665,1e-04,0.957734,1e-04,grafted,0.022,0.978,0.0489334,0.951067,0.124
9,sample_9,EDGE-TN1,EDGE,13,0.000577551,0.0289208,1e-04,0.955965,0.0144368,grafted,0.018,0.982,0.0433094,0.956691,0.125
10,sample_10,EDGE-TN1,EDGE,9.7,1e-04,0.0776187,1e-04,0.922081,1e-04,grafted,0.009,0.991,0.0527088,0.947291,0.122
11,sample_11,EDGE-TN1,EDGE,23.5,1e-04,0.0504474,1e-04,0.949253,1e-04,grafted,0.01,0.99,0.029115,0.970885,0.122
12,sample_12,EDGE-TN1,EDGE,31.8,1e-04,0.0958922,0.00378855,0.892345,0.00787448,grafted,0.04,0.96,0.108552,0.891448,0.117
20,sample_21,EDGE-TN3,EDGE,16.3,1e-04,0.131733,0.002754,0.865313,1e-04,,0.076,0.924,0.130467,0.869533,0.113
25,sample_26,EDGE-TN4,EDGE,28.5,1e-04,0.0846227,1e-04,0.915077,1e-04,grafted,0.051,0.949,0.0783796,0.92162,0.119
26,sample_27,EDGE-TN4,EDGE,16.2,1e-04,0.0978231,0.0174521,0.884525,1e-04,grafted,0.046,0.954,0.105341,0.894659,0.103
28,sample_29,EDGE-TN5,EDGE,26.3,1e-04,0.115475,0.00544762,0.878877,1e-04,grafted,0.063,0.937,0.112771,0.887229,0.115
29,sample_30,EDGE-TN5,EDGE,33.7,1e-04,0.119158,1e-04,0.880542,1e-04,,0.063,0.937,0.107025,0.892975,0.126
30,sample_31,EDGE-TN5,EDGE,29.5,1e-04,0.0966515,1e-04,0.901997,0.00115141,,0.033,0.967,0.0702916,0.929708,0.120
32,sample_33,EDGE-TN5,EDGE,24,1e-04,0.154764,1e-04,0.844937,1e-04,not grafted,0.072,0.928,0.122988,0.877012,0.125
33,sample_34,EDGE-TN5,EDGE,17.7,1e-04,0.140571,0.0102027,0.843147,0.00597993,,0.056,0.944,0.114393,0.885607,0.114
34,sample_35,EDGE-TN5,EDGE,27.8,1e-04,0.141753,1e-04,0.857947,1e-04,grafted,0.059,0.941,0.13492,0.86508,0.125
35,sample_36,EDGE-TN5,EDGE,22.2,1e-04,0.0665653,1e-04,0.933135,1e-04,,0.027,0.973,0.0364882,0.963512,0.115
37,sample_38,EDGE-TN5,EDGE,23.7,1e-04,0.0986558,1e-04,0.901044,1e-04,,0.044,0.956,0.0949843,0.905016,0.124
38,sample_39,EDGE-TN5,EDGE,22.7,1e-04,0.0715391,0.00326775,0.924993,1e-04,grafted,0.032,0.968,0.0782784,0.921722,0.118
39,sample_40,EDGE-TN5,EDGE,31,1e-04,0.0897973,0.00890156,0.901101,1e-04,grafted,0.036,0.964,0.0918551,0.908145,0.116
40,sample_41,EDGE-TN5,EDGE,33.6,1e-04,0.0288693,0.000539076,0.965757,0.0047347,grafted,0.014,0.986,0.0103982,0.989602,0.119
41,sample_42,EDGE-TN5,EDGE,28.4,1e-04,0.00779747,0.0108618,0.980529,0.000712074,grafted,0.007,0.993,1e-04,0.9999,0.118
42,sample_43,EDGE-TN5,EDGE,16.2,0.00159652,0.063392,0.0172936,0.907303,0.010415,,0.03,0.97,0.0791338,0.920866,0.108
43,sample_44,EDGE-TN5,EDGE,25,0.000562421,0.103086,1e-04,0.888894,0.00735706,grafted,0.043,0.957,0.107537,0.892463,0.113
45,sample_46,EDGE-TN6,EDGE,12.2,1e-04,0.0954229,1e-04,0.904277,1e-04,grafted,0.048,0.952,0.123181,0.876819,0.122
46,sample_49,EDGE-TN6,EDGE,19.6,1e-04,0.0872132,1e-04,0.90844,0.00414701,grafted,0.038,0.962,0.0939209,0.906079,0.126
50,sample_54,EDGE-TN6,EDGE,6.5,1e-04,0.0317726,0.00956247,0.958465,1e-04,grafted,0.014,0.986,0.0255193,0.974481,0.118
58,sample_62,EDGE-TN8,EDGE,59.4,0.00023924,0.129318,1e-04,0.870243,1e-04,grafted,0.061,0.939,0.118873,0.881127,0.126
59,sample_63,EDGE-TN8,EDGE,7.4,1e-04,0.11401,1e-04,0.872302,0.0134879,grafted,0.069,0.931,0.135141,0.864859,0.124
63,sample_68,EDGE-TN8,EDGE,6.3,0.0033491,0.0132754,1e-04,0.970997,0.0122785,grafted,0.008,0.992,0.0078645,0.992135,0.116
65,sample_70,EDGE-TN9,EDGE,21.4,1e-04,0.0770885,0.0109569,0.90384,0.00801442,grafted,0.054,0.946,0.1047,0.8953,0.117
66,sample_71,EDGE-TN9,EDGE,10.6,1e-04,0.122003,1e-04,0.877697,1e-04,grafted,0.079,0.921,0.139835,0.860165,0.123
69,sample_75,EDGE-TN11,EDGE,28,1e-04,0.023691,0.00201738,0.966349,0.00784221,grafted,0.036,0.964,0.0520544,0.947946,0.116
